Style Name,Hook Type,Headline/Hook Text,Visual Formula,Target Outcome,Color/Design Guidance,Inferred Success Factor (Inferred),Source
RIP Graveyard,Stop Doing This / Disruption,"RIP Excel / RIP Canva / Stop creating, start resurrecting. Your content graveyard is a goldmine.",Emotional mourning pose beside a symbolic gravestone; target tool name on stone; giant bold title at the bottom,Highlighting industry disruption and resurrecting past winning content,Simple scene; focus on the gravestone and high-contrast bold white text at the bottom,"Uses a familiar meme format to signal high-stakes change and leverages the ""Recycle Your Winners"" principle to reduce reach risk.","1, 2"
Breaking-news authority,Breaking News,BREAKING: AI just replaced your content team,"Subject in front of relevant backdrop; red or purple ""BREAKING"" label at top; giant white stacked text; news studio energy",Establishing authority and urgency,"Use red or purple for the breaking tag; key phrases in purple, yellow, or green to pop against dark lower half","Urgency and authority cues (breaking news banners) trigger a biological ""alert"" response, increasing stop-rates.","2, 3"
Face + giant headline,Disruption / Disbelief,Crack the Facebook algorithm / Claude can now launch your business,One clear face with strong expression (close/medium crop); huge stacked headline filling most of image; dark gradient behind text,Viral awareness and result promise,"Yellow for outcomes, green for money, purple for AI tools; highlight only key words; mobile-first bottom-heavy layout",Human faces create biological trust while giant mobile-optimized text ensures readability in fast-scrolling feeds.,2
Result screenshot style,Curiosity / Results-first,I stopped listening to 'gurus' and did this instead. Here are the actual numbers.,"Split layout: top half shows luxury/lifestyle scene (e.g., rooftop pool); bottom half shows bank/Stripe transaction history",Lead generation and high-intent engagement,Red circle around the specific deposit amount; high contrast between white text and dark background,"Combines aspirational lifestyle imagery with concrete financial ""proof"" to capture attention and build immediate credibility.","2, 4"
Contrarian callout,Contrarian / Challenge,99% of people missed this / Stop doing common tactic,Confused or frustrated entrepreneur face; huge white text; neon green or yellow highlights on result words,Engagement and challenging status quo,High contrast; use red for warnings; white main text; darkened lower half to make text pop,"Leverages FOMO (Fear Of Missing Out) and the ""Negativity Bias"" to make users stop and verify if they are making a mistake.","3, 5"
The Anti-Robot Playbook,Breaking News / Solution,"""The Anti-Robot Ai Playbook!"" Build an Ai Team That Sounds Like You and Sells For You!","High-fashion press scrum photograph, surrounded tightly by cameras and microphones",Conversion and brand loyalty through authenticity,"High-fashion style, realistic photo-editing style","Counter-intuitive positioning (Anti-Robot) creates curiosity while promising AI efficiency without the loss of ""human"" touch.",6
The AI Vibe App,Opportunity / Low Cost,"I made a Vibe Coding app... With unlimited usage for $9 a month! DM ""Vibe"" for access",Live comparison or demo of the app interface,Lead generation and DM inquiries,Deterministic/Project-Level control layout,"Calls out current tech trends (""Vibe coding"") and offers an immediate, low-friction solution to a high-interest topic.",1
The Signal Generator,Algorithm Secret,I'm Using groups as a Signal Generator to force the Facebook algorithm to prioritize your profile in the feed.,Analytics pipeline view or screenshot of group growth,Monetization through group-to-profile traffic,"Data-heavy, ""God Mode"" analytics dashboard appearance","Appeals to users' desire to ""beat the system"" by explaining the mechanics of behavioral reaction density.",1
Authority Headshot Generator,Show/Tell (Value),I just built a tool that creates 100 Authority Building Headshot Style Images! Want to see it?,Before and after carousel of AI-generated headshots,Social proof and demand for tool access,"Realistic headshot styles with ""Spotlight Studio"" branding",Provides immediate visual proof of an AI's capability to solve a personal branding pain point (professional photography).,6
The Unfinished Loop,Psychological Trigger,"Most engagement comes from unfinished posts. The brain hates open loops, so it comments to close them.","Short, punchy text with ""colored background"" or minimal design",High comment volume to boost algorithmic reach,Standard Facebook colored background posts,"Exploits the Zeigarnik effect (brain's need for closure), forcing the audience to engage to seek the answer.",1
Quote / authority post,Identity / Tribal,Be a creator and you won’t have to worry about jobs,Speaker portrait; minimal clutter; one powerful large quote in white; cinematic background,Thought leadership and brand affinity,Minimalist design; one strong emphasis color on a specific word in the quote,"Personal branding and quotes humanize the expert, creating social proof and shareability through shared values.",2
Transformation / split-screen,Results-first,AI twin can make you $5K while you sleep,"Before/after split or problem/solution split; promise headline; one side shows problem, other shows improved outcome",Demonstrating ROI and tangible results,Highlighted financial outcome in yellow or green; direct CTA subline; simple and instantly understandable,"Visual proof of transformation provides immediate evidence of the hook's claim, reducing skepticism.",2
The Open Link Truth,Breaking News / Debunking,Everyone is panicking about Facebook’s new “two-link rule.” But here’s the truth most people are missing...,Informational/Educational Breakdown,Engagement through fear-reduction and education,Not in source,"Uses a ""Newsbreak"" style hook to capitalize on platform-wide anxiety, positioning the creator as an authority.",6